Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
13379228.8568063,"[[ -7.9588127  -17.42490794  45.07398607  23.39589784  65.06881001
  -27.21113603 -30.31397738 -14.83137479 -32.18344204 -21.40331454
   39.81060001 -58.46186727  71.79006061 -30.33284365  52.6571289
   37.54775339 -39.73683162  31.67963142  45.25625413 -47.40103587
   32.95128965 -43.76103564 -49.73443266  28.40384874 -21.18425166
  -35.90150475 -14.26124133  -1.33885896  53.9598579   57.78507727
  -25.15889399  15.03668907 -50.30812868  16.90984452 -55.29895894
   48.93911363  14.1397237  -53.09635895  21.5647162   53.37833366
   54.87284181 -56.12754486 -57.85428012 -71.92706217 -72.98817507
   28.04001419  24.94951147 -30.54872005  -1.20894226  -2.86159234]]",0.47650551537728375,0.5234944846227162
11179329.772228327,"[[ 12.18290064  14.48900485  10.22683109 -19.1862917   -3.41548744
  -21.30220985 -33.80160729  -6.62372075  42.1551606  -69.29595788
   43.90654074  33.54114583 -17.00732694  -9.34809278  16.86413814
  -45.20116403  -8.80580873  -3.91316408  -7.70994256  31.37428005
   37.25063526 -16.25695505 -50.46400038   8.26610181  24.69337844
   58.77053994 -48.53547677  28.904711    43.59632882 -10.96180922
  -30.83628397   6.94203769 -19.60093796 -12.50848781   2.24959852
   -8.31021414   4.78867314  36.58117917 -19.21809494  17.77405552
   56.28104785 -18.48793612  -9.06988082 -74.54516775 -78.04940925
   45.81751518   2.8816807   -8.88508085  11.22615092 -37.56376506]]",0.4286137324381225,0.5713862675618775
20624772.213764016,"[[-18.81995715 -14.78221336  35.33278111  13.84894775 -34.36435138
    5.41543708  45.48173911 -19.64196113 -43.85902527  33.26513461
  -33.38638229 -20.7549263  -39.03239522  23.37820342  15.42668689
   -4.60429413 -29.54563881  22.32466824 -19.46732168  15.55170573
  -30.25127502 -15.73034926  16.71396352  13.46941264  22.37091699
    0.10702869  10.28965911  14.74970932  -2.42537393 -13.19897109
   14.21781248  -5.10148261  34.87621934  12.47276564  21.64566408
   -9.71625054  33.83464522  24.41785561 -34.43809381  33.21445174
   29.90910123 -35.50180497  13.30166187 -72.79361615 -73.04040307
   43.97735792  15.74503469  -5.4699009   52.19396961   4.75198208]]",0.40996734299939525,0.5900326570006047
12033486.112524701,"[[ 38.82861337   1.4164658   41.68464688 -12.8386262  -19.33495391
  -35.51625444 -25.94464042 -18.00285061  32.58212624  26.15137151
   38.59036038  15.84412073  -7.16096282 -41.31704614 -23.73948957
  -29.07567503  19.50734723 -27.86576861  33.1473909   29.13851542
   35.42622165  17.05851922  13.04910109  10.63819967 -16.65796023
  -10.56505808 -14.06592723  25.29273212 -32.30265073 -44.22732164
    7.7743199  -15.8647241  -34.91687907 -54.47638914 -36.26808645
  -25.84717906   0.51631388  -1.04446384  21.51054618  11.65231658
   39.79893091 -19.90275297 -50.95270669 -85.71690652 -81.9888728
   41.26752496 -28.76635543 -21.01703134  -7.73452221 -27.13180962]]",0.6785403914397529,0.321459608560247
12757817.104494853,"[[ 44.75152813  56.36412741 -17.87467572 -36.82561529  26.85616869
   58.85128273   0.84530025 -42.02491041  39.56938056 -10.20087135
  -15.48757788 -40.01277989  -3.3297554  -50.16712027 -21.32712909
   26.77244191  59.80684224  18.27290987  34.36745418  83.31283987
  -40.49584178  27.52537503  25.55280297   4.58055787  25.03382933
   18.10470773  19.02806212 -58.08417126  47.61706098 -26.29967025
   52.17748904  13.42804538  22.39867957 -39.03331366  45.37938887
  -21.64450645 -56.29285426 -47.10103747  18.3127489   50.8484267
   47.00775804 -64.28911941   8.34508848 -80.1629237  -72.10798353
   36.63438195  -9.43773371  -8.74572818  53.48374876 -30.31175588]]",0.504156927026147,0.49584307297385294
9196995.4004757,"[[ 29.04384229  -4.70574366 -64.10272736   9.41419694 -25.85118194
   30.06103033 -68.04488557  -0.67693408  19.36657242  20.00665646
  -22.94226227 -33.7835816    6.63781829 -12.33335883  29.16224147
   49.19955587   6.63722744 -53.8703941    2.81541364  25.83952775
   -7.070608   -40.76260597 -53.07786349  11.7505246  -26.83218561
  -10.45687865 -19.85898403  33.68641977 -12.17173589 -39.1301633
   -0.36319395 -17.42239154 -34.18245068  12.01401941  18.56253158
   18.25849853  -3.04721254  26.30022691   9.27434222  14.98890544
   61.44740039 -51.92107013 -11.68114681 -78.30523258 -78.73060064
   49.62498188   4.52627994  10.76110604  13.69116118 -23.09195617]]",0.5800879726586732,0.41991202734132677
13519725.26022515,"[[-19.61595252  38.00732657  -5.29014573  33.61479271  -1.03375141
   33.68904612 -26.15752694 -26.98024052 -13.75535148 -34.28354717
   17.68027209  14.15077976  37.93196043   8.20506182  -1.11524885
    6.0649833   -5.82252242 -17.01963087  -1.89205684   8.070584
    0.21539671 -38.59222274 -50.47585181  37.53279416 -55.03755719
   -5.20145648  25.99518048  -4.78909999  35.20794593  10.43506984
   -4.76653749   0.79472463  -7.49495     38.67364995   8.27030932
   14.27159223 -14.32590045 -29.93222186 -14.08232273  64.90879875
   56.15333568 -22.35896859  -4.13195395 -81.46295765 -82.10479427
   35.45316717  12.22717685 -18.47312702  18.2972851    3.70551342]]",0.4077487868855163,0.5922512131144837
12676181.538367892,"[[-33.61385608 -38.75230512 -25.47139996   9.22849639 -30.00054279
  -59.11059289 -38.353082    51.05036998   7.38899013 -10.24334509
  -29.71212829   4.66525583 -56.47667026  46.09560198 -57.883449
  -20.11984362  10.28909542  -4.43994965  46.0292067  -31.8944792
   -5.41280202  22.91951603  24.1380838   11.5444034   18.26689292
  -14.50890254   4.48537698 -36.3075022  -13.19801868   9.49139709
   62.9764352  -40.06253958 -31.58859981  -8.92050143 -34.62165823
   34.15786171  48.609723   -29.31195313   8.32279503 -18.88675615
   52.71208924 -13.97788607 -20.51875811 -80.55929297 -80.07771504
   54.82657524  10.11820763  17.82915489  30.98412495 -26.06299236]]",0.5638727581315597,0.43612724186844026
18083845.466859758,"[[  7.15994077 -38.8257984   42.0601662   -5.42824593 -44.86962116
   -8.60661044 -15.63014164 -17.12609718  -1.26458029  42.5086094
   27.4421651    5.59754119 -45.35761899  -3.28588009   2.77212119
   -8.3662725    3.39502962   6.02693856 -49.10173431 -16.76364152
  -66.33223286 -43.74663772  13.71645069   5.32002383 -17.90263159
   24.97673216 -18.90931994 -43.24592247 -27.18599143 -52.25877188
   57.00902823  35.53404757 -22.80391304  -9.93912459  17.97428085
   51.34904626  11.74881966   9.59081315  15.5169266   -1.12482188
   41.99525904 -50.13706789  -7.09168713 -67.58639414 -70.85255336
   35.386902   -17.56843099 -14.17222898   8.18337393   7.01798165]]",0.47300619819324496,0.526993801806755
10607801.213098986,"[[ -1.42856751 -20.50634114   8.95066577 -20.14222686  34.91053999
   67.11798053   7.8715975   37.81008696  44.14944028 -15.48268847
  -65.0486689  -47.51993953 -41.16427581  55.25651596  28.16572965
  -35.97921304 -35.07157089  16.58743113   7.35374984  14.77835839
   13.34904983 -61.88410455 -11.98773259  21.59519638 -36.98245323
    6.73270261  24.22156303 -12.82674819  30.05974946 -16.29535069
    2.41723283 -35.76389245  17.17176968  15.75541732  -2.03206142
   22.29262491  -7.53645064  -7.91374603  19.47943772   6.21427529
   52.37377254 -38.70483943  37.17937232 -78.01027259 -82.37440055
   41.87158781   7.44150852 -14.67288146  23.17150054 -22.34001562]]",0.47720720688999074,0.5227927931100094
