Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
44451090860.972176,"[[ 30.71719626  21.52611213  12.35432612 -19.59151593  -2.35331751
   14.55582332 -29.39920445 -23.55119026  19.5205555   42.2069405
  -14.8771935   -0.09301765  31.88803597  22.97554513   4.70779473
    4.13151368  15.93937735  30.10619645 -40.17873453   9.06916945
  -14.20322137  -4.34732927   2.11107692  -4.70295879   8.14412387
  -28.90331576 -17.45844307  34.07809736   3.9396647    7.26313951
   -6.53600071  34.52852378   8.46390129  60.08014898 -39.4743397
  -10.28893503  -1.09958138 -13.13014045  23.73838226  40.98097404
   14.5778027   -0.36801861  -1.3585062  -17.66363004  12.58627041
  -23.45995215  19.26700737  21.68256744 -34.56822459 -14.58182877]]",0.0798806073208938,0.920119392679106
25746170292.954193,"[[ 25.29970547 -39.42827925  -9.79826124  25.73016747  24.79566422
  -10.15728888   9.45618394 -31.55629322  27.5554792   35.69937403
   31.80408392   3.24873513  15.17645914  18.24297661 -31.58523985
   16.48001995  31.71854298  38.23429142 -38.0894125   38.37869322
  -11.43015017 -18.06364356   6.75573439 -31.15935333   0.41992115
    9.68202487 -30.15818736  25.9839266    2.40834829   8.40478539
  -42.33334762   9.15466824  35.74513444   6.44336855 -11.45448849
   -5.13752517  20.54060284   2.69562366 -39.65865978 -21.68565569
   -7.29379165 -33.33731158  37.83601689 -29.88252476   6.62048527
   23.52157115 -11.9724978  -20.25982559 -25.08573303  -7.74492364]]",0.0515560608900306,0.9484439391099694
43099247504.226036,"[[ 1.84869982e+01  1.53344298e+00 -1.12381844e+01  6.90877304e+00
   2.38737417e+01  1.42626838e+01  1.13051353e+01 -1.63650949e+01
   6.38905125e+00 -1.76840864e+01  1.99809122e+01  2.42493545e+01
   4.94077710e+00 -5.29885632e-01  5.77141376e+00 -3.44837847e+00
   6.40618982e+00  2.16328962e+01 -1.32050868e+01  8.51858732e+00
  -4.07261635e+00 -2.64155642e+01 -4.48427412e+00 -2.95058920e+01
  -1.88331422e+00 -1.30227514e+01  8.76768733e+00  1.31017287e+01
   1.11922280e+01  1.64632936e+01 -1.27170195e+01 -2.15704445e-02
   1.03165274e+01 -9.59660815e-01  4.75966075e+00 -1.28286993e+01
   5.71620937e+00 -8.42717112e+00 -9.99307251e+00 -1.75282360e+01
   1.07820398e+01 -1.47101003e+01 -4.56325755e+00 -1.42441186e+01
   1.11274559e+01 -3.69980165e+00  1.13536530e+01 -1.23904840e+01
   1.81733258e+01 -3.85756346e+00]]",0.09306879512274588,0.9069312048772542
47620115886.46101,"[[ 15.37073348  -2.46243681   7.66952701   6.7019605   14.34812888
   -3.98606286  -7.11709583 -13.40184062  -6.11142604  -9.66380132
  -10.14885123   3.68344603  17.57947035  15.63778633  -3.04998399
   19.43469743  22.61223396  14.30362686   9.97540194   1.46932165
   -5.77854838  19.55462911  10.70375089  -1.47701541 -11.8348449
    2.47763279 -15.41755122  10.12523312 -10.6738785    1.36777169
   -6.71764491  -8.61705376  -1.33623384  14.60533313  -4.36262802
    3.27605339   4.72386768  17.71545012  24.11474116  14.3052814
    0.47395044  -3.21543329  22.34605563   3.16325293  11.04274243
   18.54081172   7.15708721  -6.86039468   0.26294519 -15.12388032]]",0.10820340857058343,0.8917965914294165
44189706706.93202,"[[ -3.45253438  -7.72564841 -24.17865298  29.24360515   6.11765197
   13.3903165   21.03263113 -12.63077354   4.1252464   12.4518197
    4.91841022  20.70056169  25.19921736  26.40134146  -6.53966632
  -12.69661052  23.97884516  13.90150722  27.96401424   3.6468628
   -4.75046777   6.99201767   7.24585571 -21.47275725   0.16355783
   11.64243123 -14.35432796  20.20397178  -6.15907275  13.8543487
  -27.45800113  37.75245037 -33.95827681   9.98081631  -3.99005147
   -3.27762579  10.05977187 -13.56974228  -6.24326993  -8.90897107
   13.73804906   1.28014882 -15.90784643  27.67342688  11.61626989
    5.64261171  -5.39117087 -19.40323073  15.01466854 -15.94357096]]",0.053575942696571,0.9464240573034288
27842803801.552864,"[[ 30.05058258 -31.79694444 -14.4435273   33.03143324  22.0829358
   -5.59447811   4.71286471 -45.87699644  -5.88101658  10.96688592
  -11.03764908  16.48647645  12.17253492  17.48408769 -11.59359065
  -32.00758099  38.42191261  40.30040431  15.3606334   -6.20072137
  -49.2311138    9.65018402 -20.28994841 -45.41582024 -42.31901556
  -14.17377375 -10.63888177  15.04840707   0.08949055 -27.01155778
  -15.27693134  37.14324735 -22.59227438  36.56266806  58.09889577
  -17.73292469  -3.84937798  24.42092863 -14.82986027  -5.37307273
    0.59964111 -30.38603742  19.59146272  11.61583479  29.85726411
  -18.37462212  30.65226409 -12.77431599   7.89713232  13.98503143]]",0.04620381205192285,0.9537961879480773
67409278390.99541,"[[8.60694805e-17 1.47137962e-17 7.43876026e-16 6.09976462e-15
  8.02109713e-17 7.41362866e-15 4.02937717e-16 2.55813321e-16
  1.87138470e-15 2.78615310e-15 7.38480141e-19 1.78346250e-13
  6.85698525e-15 2.26747232e-14 9.62678059e-17 1.68243017e-20
  5.70184088e-15 2.14922339e-16 2.86527248e-16 3.65031493e-16
  9.93839761e-15 7.58966574e-17 3.32971068e-17 4.64585839e-18
  2.12680433e-15 4.01715078e-16 1.30206477e-17 6.44454283e-14
  9.39335566e-15 1.49009738e-14 8.09227356e-18 4.20702473e-16
  9.40603548e-18 5.13033541e-13 1.69583869e-14 7.41220300e-16
  1.41305048e-16 6.97763879e-17 8.80595659e-15 1.45993070e-15
  2.47779638e-15 3.47297191e-17 2.14315829e-14 1.51864234e-16
  4.83032501e-15 3.98149136e-18 3.35844030e-17 8.14970552e-15
  4.68484903e-16 2.73964873e-20]]",0.020000000000001267,0.9799999999999988
40713258146.63009,"[[ 17.86589079   1.82931094  17.52108013  11.66222069  20.98485926
  -18.70748261  21.75410772 -18.29796508 -17.04887451  31.97182683
   -2.13733524  15.27878939  41.69661856   7.87818724 -10.4189393
   16.9743238   37.80136455  12.52324325  13.68325028  22.40310851
  -49.04547843 -19.91657933  15.21441955  -6.29037085   3.93957367
  -25.3532773   -8.53670291 -26.22236281   9.28305217   9.12245331
   -9.19000848  -4.04000944 -21.06487803   9.87727463  17.03090682
   18.78714964 -12.44093983  -8.15825163   3.84296111   8.29626346
   60.49752353 -34.30006507  10.55612461   8.87816427  21.30619162
   17.44316406  28.18155579  34.97660133  -6.35336132  22.44492209]]",0.06776845037667484,0.932231549623325
36246659096.514534,"[[ 13.4169032  -17.60202241 -26.10752087  17.91938189  12.14658555
   -1.57023513  27.0418856  -17.75516964  17.64120234  33.26210754
    4.39570112  20.33334571   8.53669026 -16.11685044  -0.05551943
   -6.02520785  15.38616983  16.95121131  -6.77552113  23.20586646
  -29.94800859  -6.86297903 -13.67208088  -9.89437232 -35.20318441
   -8.85733245 -29.06205353  32.79511373  -0.71446735 -31.58910924
  -17.76476322  17.35730848   2.12190043   7.92131572  39.2321996
   14.69725319  -4.74242355 -27.75007813 -13.09918433  -0.83293397
   -8.33989322 -21.19208127  -9.65212375 -14.33245573  10.76328628
   12.25978886  13.78262302  -0.17136087  15.80824043 -16.69116742]]",0.04315649571947141,0.9568435042805287
43175660594.17408,"[[ 32.43329731   9.40590213   6.74871343  -9.30832977   3.4493969
   18.57482941  -3.06013792 -10.4199531   16.00126237 -33.98048187
    3.19966281   3.91085264  17.12094358  -1.32427068 -22.70785178
    2.26018814  35.44934373   4.24731249 -12.77254661   5.3153083
  -14.26272447  -5.34322156  11.61637045   2.88164248 -14.42959626
   14.3626821   -6.28461278  12.41624802 -21.87456534  -8.95352885
  -23.57662971  44.72059196   1.34810978  10.12763335   7.55581355
   -1.88693671   1.92602998  33.83154865   2.16364237  -1.55590937
  -17.80129793 -13.30824614  -3.42229794 -23.02764279  -1.46953765
   10.84125941   3.02850372  11.35427585 -23.57327489   1.37497547]]",0.07857161341705715,0.9214283865829428
