Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
-0.41742016608850746,"[[4.73562635 5.92582416 4.54517217 3.04070203 8.60972174 6.67463723
  6.50469139 3.36450602 5.99347783 6.00395076 3.31475163 4.10605876
  3.9018731  8.92949583 3.25791327 6.07226498 5.68709384 3.88472715
  5.7973074  3.13722205 3.28717714 5.58793299 2.34448539 6.40473366
  3.49641678 5.77415614 6.36483536 6.13390187 7.54217502 3.05578389]]",0.16322598473683197,0.836774015263168
-0.3937592886697839,"[[2.0570148  2.97149162 6.33800416 3.2018226  8.24971273 0.76856149
  3.01233572 5.62890588 7.33106383 2.79550099 3.33623563 5.92914802
  4.01343348 6.13711768 3.82590502 5.81690766 6.37542215 1.47158456
  3.28152796 3.49849277 4.07478449 3.27248335 5.14039449 3.8615463
  1.83526711 4.30325428 0.24847233 4.08204387 3.36181521 5.86154936]]",0.7009863263166147,0.2990136736833852
-0.3787734402146349,"[[0.90954878 8.95465671 6.46814088 0.62663953 6.38040025 9.3803708
  7.66785816 7.89918464 9.21377539 6.3736908  1.37899111 4.13997375
  7.60086905 6.42683263 9.46813412 0.13094796 4.12646244 0.20084034
  9.44471724 6.92994184 2.80773584 9.34647512 1.93136168 2.20782544
  3.05357833 6.09154572 1.01165261 7.17632866 0.27086002 6.79031023]]",0.6366434231107605,0.3633565768892395
-0.37985650409843,"[[8.6052401  6.02573764 3.28666932 3.84216968 6.40794083 3.93701329
  1.64265183 2.96679251 9.12213421 6.41039539 4.76121168 2.25198735
  3.01117311 5.23801781 1.46256816 8.49647966 6.14402662 6.24683513
  6.07515132 5.76585037 5.91669264 6.22693672 1.31813939 2.74546926
  2.99986408 1.12585626 4.41478334 3.08136486 4.43650313 6.2177796 ]]",0.6548923952242806,0.3451076047757195
-0.38718652858680486,"[[5.3828838  4.60044338 3.19952892 3.55475644 4.9683272  6.51187919
  3.04000524 5.82465099 6.33589292 8.04372572 1.03533282 5.28649949
  6.16843295 6.23194591 8.10710565 2.63652675 6.08790086 3.23700098
  6.07299337 2.27176517 3.3320939  4.46612904 7.27250277 3.60964018
  6.80114944 3.28162186 6.15675411 3.4190494  1.93935188 3.34413056]]",0.5050471503762198,0.49495284962378017
-0.40613233746158117,"[[5.93814589 6.29101768 3.48421518 6.17213342 6.0878199  2.2067076
  5.62937712 6.45055603 3.38844357 6.65218877 5.90486087 8.76277036
  3.12889571 6.33381961 3.5862776  4.75499815 2.10056986 3.38923561
  3.3375581  9.04517626 2.80867437 4.7962765  6.39344903 5.71961466
  7.68752783 3.13629795 1.82638536 6.27139894 4.46142929 6.01913105]]",0.3826512848226335,0.6173487151773664
-0.46394379574405753,"[[6.03765014 5.73516587 6.34249968 6.45086323 6.30233635 3.24607194
  3.33186321 5.16194798 3.7126578  2.82120808 3.53806794 6.37285932
  5.87616718 2.89021119 5.81601658 5.91424236 4.06240774 6.05613121
  5.64874394 3.64514588 6.39138999 3.09181756 6.02227423 5.56900412
  3.36323855 3.16712333 7.3464569  5.77411463 5.87556644 3.8100513 ]]",0.1941084939541145,0.8058915060458856
-0.3847146037176292,"[[9.39697476 8.84720744 7.67200851 5.99784017 4.7898229  1.06147402
  9.05777995 5.64986502 5.96296722 6.51559339 9.43421422 6.59130092
  9.35689289 3.36275515 7.3304881  6.15190127 0.8194913  0.3373297
  0.52092519 4.96712138 3.15093625 9.4867362  9.61011439 1.06383771
  7.87928044 3.25730743 3.97748387 2.34267614 6.65068916 6.38126151]]",0.7227862938128695,0.27721370618713054
-0.4119273109486611,"[[5.15886433 5.97642042 6.12784677 5.85691339 6.53167731 6.24024751
  3.69446902 3.08562579 6.02776878 6.73290082 3.62671286 5.88122279
  0.64602168 6.05992241 6.08894319 2.94121031 3.74213128 7.53290474
  4.78166097 2.95670141 3.8372214  6.14446579 5.68483336 5.33731835
  6.38337023 1.77709136 6.0786906  4.35966197 3.06525641 1.85241967]]",0.27929687162668293,0.7207031283733172
-0.44471083538371275,"[[3.349262   7.80444895 6.13236806 3.17813063 5.73467061 3.4366299
  1.59336385 3.29995073 4.86132299 1.50552297 6.0689946  8.66600558
  3.92600918 3.3925299  4.0832026  2.96853225 5.8319411  6.226918
  5.98482161 2.89017295 6.09079644 6.13901268 6.26290487 6.36497831
  6.16000421 5.59357625 3.16576176 2.36380935 6.33929438 3.24604875]]",0.7351245511311519,0.2648754488688482
