Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
53988940540.77131,"[[ 3.63341135  0.44114357  3.37659321 -2.53347626 -4.22385552  0.96378371
   3.40878429  6.2368301  -1.32503092  2.66417197  1.94511888  6.58165619
   2.15468857 -2.91541684 -1.05342719 -2.06391135 -2.26865319  5.41069138
   5.0252185   4.17270412 -4.9267872  -1.84105525 -1.30929272 -3.72811715
  -4.63246179 -2.57531504 -2.57516946 -1.13168248  1.1237885  -2.49993355
  -3.29272143  3.55352616  4.45352484  7.0988322  -3.29144463  8.40535851
  -4.60551966 -2.91803857 -4.23362506 -0.93133803 -2.38784527 -3.45185446
   1.68408635 -4.23051795  6.1428951   2.5730946   8.53516373  8.5097837
   6.40663444 -0.65351358]]",0.5891117901812755,0.41088820981872454
519122792.8860007,"[[ 0.74273955 -4.71148867  1.15632976 -4.89594651 -3.81192068  7.87857487
   7.8861398   3.77723774 -3.87014209 -4.99166654 -3.20793345  0.68520918
   9.68168839  4.21183232 -3.22685823 -0.74414745 -2.22821964 -3.42953288
   9.30916955  9.2195935   2.9246654   6.42108129  9.89836003 -4.51769926
   3.53507309 -4.12906026  3.34554343  3.77899751 -1.61442172 -4.68867469
   9.69328796  6.49324847 -4.95296645 -0.91075116 -3.29159982 -3.96756669
  -4.33387366  2.1715637  -0.73231237  9.92949724 -2.58258645 -4.9952797
  -3.04040146  3.83082675 -2.27435525 -4.9055479  -3.15086274 -3.73410487
  -4.9781243  -2.60243145]]",0.3675256338397357,0.6324743661602643
1682782945.9554956,"[[-1.21716205  8.08740819 -2.19373031  5.7643239  -4.49218118  9.09929953
   5.44496188  8.77378879 -4.38839189  1.19664534  3.14265216 -2.9184703
  -2.70317876  7.40102133  0.3588063  -3.63086013  2.96370675 -1.48665099
   6.02527373  2.10582353  1.04399638 -3.67525676  1.10174243 -3.42890829
  -2.47796385 -0.94550398 -4.24589715  1.80087351  6.05549574  4.09463978
   9.89998644 -4.96093431 -4.75420539  7.13180421 -2.19174547 -1.42841852
   0.79836567 -3.54040082 -2.55904083 -2.68424558 -1.31064717  4.93716104
  -4.17190252 -1.91970537  0.78458848  9.14303446  0.44256913  2.02604527
  -2.21185869 -1.53653373]]",0.5418496949203012,0.4581503050796987
23776267291.675488,"[[-4.4916281   2.42426257 -4.99104625  4.66513865 -4.9422234   9.70647606
   6.75770569  7.1808619  -1.90494592 -1.55437819 -2.60019423  5.93623183
   7.69411067  4.46635654  8.23787842 -4.87167259  8.31985794 -2.69245417
   7.59103344  6.856263    9.84356593  4.83119628 -0.86143879 -1.51008448
  -2.43190693  8.44021524 -4.82053287 -4.79727315  2.82587263 -4.99162147
   2.10145237  9.99742351 -1.96231202 -4.93244258 -4.28345662 -4.92885068
  -2.5268346  -4.9956322   1.76203631  3.13575456  4.7124772  -4.2794436
   7.07008263 -3.20290696 -4.99702004 -2.65010641  8.834221    2.03006724
  -3.54594804  2.41151913]]",0.4170137413822954,0.5829862586177046
52861895813.191696,"[[-2.09100987 -2.29107209  9.3711033  -3.73954327 -1.25634234 -0.64282788
   7.16119551 -0.97404418  5.04223248  8.74586119 -0.77350731 -0.25196406
  -4.48909033  6.62780019  9.67377271  3.14568794  0.19519188  0.92654873
  -2.51035181  0.5798006   9.13347991 -4.99621207 -4.97638144  2.03695216
   9.29542542  0.46013298 -3.76614023 -1.61779662 -0.87963572 -0.72156901
   2.63535073  4.2386722   9.03498712 -2.40396952 -4.54591052  5.01254161
   6.81956225 -1.05180114 -0.67402717 -4.08317671  2.38802417  6.4942915
  -1.52004766  5.25617237 -4.65423042 -0.52053627  5.2895525  -3.75687843
  -3.26310139 -2.31813708]]",0.49264759965859006,0.5073524003414098
883632992.4663157,"[[ 7.82278661 -4.85326478 -3.42396428  1.86149017 -4.11366232  9.98212586
   3.18677521 -0.66242037 -1.92116737 -3.39146041 -2.73887409  8.29930935
   3.18484945  9.04909057  2.64009757 -4.47906991 -4.89254048 -2.37622236
   8.6353087  -4.6899743   5.48923653  4.54424392  7.23079227  8.10676698
  -4.33171983 -2.60945235 -4.98201178  0.82993141 -4.94050632 -0.77254421
  -4.97988737 -2.3029379   8.50217025 -3.18765464  4.82914773 -4.77595507
  -2.18626466  1.70875412  1.08531397  0.75323989 -4.70913858  0.86126951
  -3.48973793 -2.62032456 -0.45771681  3.7179741   4.68670139 -4.99898382
   1.83560259  6.04372453]]",0.4482846704831359,0.5517153295168641
25464707373.59839,"[[-3.19210234 -1.97231949  8.14226537  4.88040781 -3.9369703   1.09131042
  -4.97286145 -3.39897357 -4.15432757  6.21765096 -4.30307846 -1.01860309
  -4.0821768  -2.00753836 -4.99979934  8.85088382 -4.87261927 -4.78163913
  -4.34700899 -1.27215921 -0.62571196  8.60064609  8.9428848   0.03109476
  -1.30243742  7.90076291 -3.45779808 -4.52552285  3.01981412  1.93191417
   6.62995712 -4.96683922 -2.64237054  4.992125    0.6939391   8.47073818
   9.9801518  -4.83243379 -4.74895225  5.1126983  -3.13345175 -4.55272134
   1.43907285  5.85920628  0.48451809  2.63655312 -1.83544261 -1.62666446
  -2.24888242  3.3260108 ]]",0.5052810102529992,0.49471898974700074
3900709593.188888,"[[-2.00839698  5.5213823   0.7305279   5.94808526 -3.82580262  0.95631162
  -3.79430024  3.11513311  9.95668774 -1.57421248  2.71440126  9.97438562
  -2.46210787  0.72703035 -3.92493123 -4.99956444  9.65082263 -4.99638404
   9.76724223 -0.46455368 -4.8387448   0.67425528 -4.71145695  6.80611592
   7.93988609 -4.50796611 -1.31936845  3.50922485 -4.72643256  9.26488816
  -4.01758009 -4.75398477 -2.87708404 -3.85020173  3.05045444  9.85965551
  -4.57575824 -3.37609058  4.46441276  4.55693284 -4.43316906 -4.99231197
  -3.97104209 -4.74558814  1.04297413 -0.87922692 -1.96971453  8.49138075
  -0.99967448  8.55732508]]",0.534941615029725,0.4650583849702749
5323964385.738779,"[[ 8.61109543 -1.56562332  8.60265975  7.42031932  9.26369955 -1.04260731
  -1.52791443 -1.06487036  7.52449547  4.16135927 -4.19796093  7.79876346
  -2.11199007  2.73003957  6.91819889 -4.33658206  1.00348189  0.75700277
   9.34833955  3.00586785  7.24187405 -0.53290592 -4.24327145  2.00544514
  -1.80873649  9.81976743 -4.87285523  4.25140732  9.94183116  2.08832592
   1.70252859  9.18756197  2.23972482  2.2805561  -4.81635512 -4.76322431
   0.26693936 -4.72492461  2.12053273 -4.55885915  9.71179917 -4.82180481
  -3.0229717  -2.31426523 -4.15287087 -2.08673361  9.93297216 -4.29833348
  -4.27953258 -3.94277713]]",0.44754586420559506,0.5524541357944049
302090916.57945067,"[[ 2.3100403  -3.66151668  2.79492659 -3.17403031  9.92832273 -4.75140877
  -1.21731487 -4.92156909 -4.91273988  6.25570424 -0.48788685  2.53577174
   4.15700968 -0.75429793 -4.23115368 -4.42799767  7.02459736  2.13462823
   7.76111724 -2.33691676 -3.05969222 -4.74493774 -1.20599194 -4.89236035
  -2.06611404  6.94292655 -2.42569297 -4.64328242 -4.79901331  5.01970932
   2.90962644 -3.59615293 -4.21647968 -4.67879871 -4.10576686 -0.24492953
   5.9113065  -4.61498644  6.39012081 -2.58678512 -4.18090904 -4.1626831
   6.46707595  4.43698921  1.40526939  8.82411252  4.25623863  0.9067827
  -4.914688    2.9298963 ]]",0.4330602363927278,0.5669397636072722
8681886138.725794,"[[ 8.66104143 -4.81518553 -1.04533756 -4.19529707 -4.81353315  7.59378439
   9.07645229  3.84504373 -0.96628207 -4.54252284  9.8655739  -2.71057657
   3.44789551  0.20136701 -4.8307292   6.55744289  9.74755186  1.4518521
  -4.97996204 -1.08021533  0.67683337 -4.35433558 -4.37212072  9.00658035
   9.71610306  4.08229753 -0.41323133  9.64239131  1.53005031  4.15369806
  -4.99521609 -1.89552311 -0.73919763 -3.02964672 -4.95866189 -4.77741189
   3.2290206   2.39676624 -4.9403067  -4.84730238 -4.98494814  4.41911536
  -4.99800587  5.44365595  9.98028672  0.83424375 -4.99711609  1.08188242
  -3.52552801  5.8937763 ]]",0.2846202227563851,0.7153797772436148
27563355795.311962,"[[ 9.43436492 -3.79410233 -4.65007114 -4.99154967  8.56257732 -4.91911093
   7.34520336 -3.70469885 -2.36558369  4.82184419 -4.38503284  8.01228061
   0.68417469  4.98941038  9.95244905 -4.93627381 -4.14233918 -4.54736651
  -3.49782162  4.89455789  3.11082879  8.93085799  8.21793243  9.9825281
   2.91878511 -2.47467338 -3.8831553  -4.8507952  -3.56773903 -4.9767922
   1.38589884  2.61728713  8.52690793  8.99187954 -3.39822789 -1.0470811
   6.97894559 -4.32977006 -3.98926874 -0.57522477  1.89961125 -1.76492797
  -3.90714901 -0.15593723  8.96824945 -4.98844298 -4.16631104 -0.49945508
   9.94107809 -3.93235725]]",0.4565167088641916,0.5434832911358084
9469070845.585426,"[[ 8.49108293e+00  4.11964216e+00  9.81288924e+00  3.49605347e+00
   8.57415150e+00  4.79220920e-01  9.35849304e+00  1.21000418e+00
   1.15168479e-04 -2.76439307e+00  9.88742698e+00  8.75937823e+00
   2.19918036e+00 -4.69202076e+00  7.15428674e+00  2.09415323e-01
   3.70799819e+00  6.47616050e+00 -4.62323613e+00 -4.19273434e+00
   9.70934792e+00  1.14646892e+00  5.15819639e+00  1.20252199e+00
  -5.03660069e-01 -2.33674919e+00 -9.70545370e-01 -1.44492867e+00
   8.62755385e+00  4.79875522e+00 -1.51662870e+00 -2.65763699e+00
   9.95508003e+00  5.50841013e+00  2.06036843e+00 -4.59927910e+00
  -4.74206808e+00 -2.20445041e+00  6.63571558e+00 -6.51940751e-01
  -3.47889270e+00 -4.90971794e+00  3.12560700e-01 -1.02689845e+00
   8.77743751e+00  3.81822498e+00 -4.76555494e+00 -2.32513192e+00
  -4.85506555e+00 -4.97180983e+00]]",0.3842244698348166,0.6157755301651835
432696.9383546309,"[[-4.49742106  3.72147729  9.41247659  8.82091184  9.98278339 -4.25609398
  -2.8335689   2.25461143  9.6400562   4.70793406  9.27284087 -0.9540244
  -2.71212108 -1.67589975  4.27292206  4.01361251  1.90385455  6.89773756
  -1.54210686 -4.98463722  9.63303319 -4.97294774 -4.03377513  4.71269804
   9.81687039  3.80247467 -2.20021102 -3.2570226   2.1136734  -4.99684552
  -4.90095074 -3.72665626 -4.45023808 -4.18195165  1.07671156 -0.36266916
   9.10882406 -1.46430091 -0.22704503 -0.02806683  4.92441628 -4.93139838
  -3.05686346 -4.27668559 -4.32220974  6.38455943 -4.95731319 -2.4637528
   8.86768273 -2.48913362]]",0.4327616785779979,0.567238321422002
5451035739.64324,"[[ 0.90648743  4.82917919  6.02271942 -2.47619606  0.05706075  3.05885942
   6.55500249 -0.52198457 -0.706968    9.82214711  9.07682768 -1.25825516
   7.14913421 -4.52223623  2.9184723   0.58013516  0.69837988  6.0428747
   5.94078232  7.28960838 -0.69466666 -1.66162231  4.81533682  0.99914356
  -2.46715053  0.17633516 -4.23478987  7.19245386 -3.36858457  1.70081437
  -2.54019187  1.14996981 -4.22866705 -4.81912341 -2.53477109  5.44266197
  -2.71962432  6.09708657 -4.05769171  7.87779687 -1.11739938 -4.09828306
   8.51920169 -3.10601677 -1.60765795 -3.2298908  -1.41206823 -3.98828074
   2.12958966  2.60015925]]",0.4150453466323909,0.5849546533676091
80899217.03889535,"[[ 4.84859442 -3.79771278  6.27129866 -3.35162055  9.51118055  1.01007469
   8.12967477 -0.49709465  3.9657003   8.85181376  3.11931144 -4.53215983
  -2.5275635   1.99341875  9.92924767 -2.25368479  5.04513781 -2.82173415
  -0.25494103 -3.24287287  8.7733745   3.47970788  4.62932672 -3.25849226
   5.4766579  -4.35794768  4.05406342  8.12886953 -1.00329874  2.25149247
  -3.74017093  1.96925593  7.75695301 -3.57617207 -4.9502355   2.36374194
  -4.60713515 -3.9529371  -4.07369308  1.3069564  -3.77304153 -1.61509909
   7.25520953 -1.71530745  0.34890759  2.14326473  1.25137562 -4.89306271
  -0.8440839  -4.23917426]]",0.4533661033648395,0.5466338966351604
9489631612.205189,"[[-4.9124952  -3.54547319 -2.53384698  0.43986172 -1.67608707  1.29444849
  -0.85857658 -0.48597066  5.51466294  9.34188012  1.15686896  0.67224814
   3.79307414 -4.64491603  8.97166989  0.77889726 -4.05374763 -2.84132861
  -3.30532136  2.55904317  8.94074168  9.05796208 -1.94301979 -4.96989344
  -4.10886463 -3.77116535 -1.476503   -0.88103153 -2.10208375 -2.29659094
   5.15515626  1.13765248 -3.86716688  0.08093801 -3.25858716  0.17234409
   1.86782304  2.26335916  8.73714985  7.16023609  9.39591522 -4.70345277
  -0.79753499  5.01664575 -2.08228341 -2.38589347  0.97661342 -4.00454678
   1.72162368 -3.4406988 ]]",0.7026549188514983,0.29734508114850183
30557380578.39387,"[[ 9.75787952e+00  5.48862226e-01 -1.57047234e+00 -7.96975695e-01
   7.17088957e+00 -2.96162275e+00 -4.83207468e+00 -4.36954751e+00
  -1.83777314e+00 -8.82468800e-01  5.87468964e+00  9.03254029e+00
  -5.95888134e-01  2.14895201e+00  8.89789067e+00  8.96688581e+00
   5.56065425e+00  1.85080012e+00 -3.26231970e+00 -3.61116756e+00
   6.35402227e+00  5.16073608e+00 -6.81486509e-01 -8.83571578e-02
  -4.14555282e+00 -4.87459685e+00  6.03873680e-01 -3.68913154e+00
  -2.41326514e+00  4.19139241e+00 -1.46883983e+00  6.43325662e+00
  -4.16819891e+00  4.02757353e+00 -1.93942970e+00 -4.33659657e+00
   6.53598787e+00  3.07346753e+00  5.52031009e-01  3.95454658e+00
  -6.12502304e-03  5.68223018e+00 -2.30841095e-01 -4.97019981e+00
  -2.59602855e+00  4.29876862e+00  4.64862192e+00 -2.32132708e+00
  -4.86258445e+00  1.83806683e+00]]",0.4755334935307273,0.5244665064692726
