Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
64477331550.007324,"[[-3.1086926  -2.24697567  6.2005632   9.14526023  1.66584126 -2.09285269
   9.32171284  3.64829851  4.20748133 -1.74010206  7.94019064 -3.05073293
   6.24206533  1.98311281  1.91704745  1.61735997  0.36351876 -3.35898689
   3.92077021  8.83019885 -2.673015   -1.80039632  2.17325866 -4.2366166
   2.93659356 -1.48411165 -1.15943828 -0.22413945  6.13519408  8.78576389
  -3.88890428  5.88001218 -4.04801073 -1.60944252  5.29759979  7.28638403
  -3.92324785 -1.41234915  0.60270627 -1.37850167  3.68021247  1.82279945
  -1.81444919  3.6461233   3.09426251 -0.83983593  0.8843719  -4.11515844
  -1.36730059 -1.41323837]]",0.3046283782661019,0.6953716217338982
389700226842.3447,"[[ 0.50512645 -1.50484143 -3.81726205 -3.28771423  4.1326876   4.45460374
   4.25639729  1.68028552 -4.12604536 -3.48645389  4.693634    5.74874322
   1.3817316   0.85882757  5.08033595  2.04514934  0.3882189  -4.63943346
  -1.65173033 -3.68783544  3.92640147  2.34915524 -3.02565165  6.66306082
  -1.27744843 -2.68826989  4.96827645  3.02998654  9.39968552  4.37128953
  -4.31442525 -0.28377773  8.77404416 -4.77134744  2.08744019 -2.13292045
  -3.05016076 -1.41168726 -4.5188633   2.70014572 -3.51514734  7.46557572
  -1.75870866  2.87030488  3.58508503 -1.85379858  6.04069748  8.82617645
  -0.09796839  1.47513768]]",0.49522714726596584,0.5047728527340342
12713242847.941568,"[[ 4.81183956  2.82078259 -3.36948807  7.11955366  9.21799096 -3.89841195
   7.95141998  8.78619964 -2.31828347 -3.68886806 -1.10237216  1.59946628
  -1.00676545 -2.71459084 -3.08081086  2.53122201  1.22083995 -1.3974577
  -1.70879715  3.42460502 -4.14737735  1.84410824 -0.07642708 -2.41103198
   0.91294451  0.41167484  9.19093585 -4.51230903  5.72853785  1.62667108
   3.21434196  3.59441528  8.75370887 -4.58385774  0.53002335  3.91023652
  -1.68474709 -4.13912038  1.34829084 -3.85985351 -4.76600399 -1.9282289
   7.25866356  4.89759069  3.79093259  1.03525151 -2.34299848 -1.5999956
  -2.01940968 -0.3697356 ]]",0.29267167199987804,0.7073283280001219
137902497218.9473,"[[ 0.99673538  6.28239826  8.92107768  0.16146347  3.60973882  3.61566726
   2.6927682   8.47610261 -0.78620894  3.70924618 -0.44978137 -4.52824537
   1.05340156  5.63905349 -3.35083974 -0.23825032  6.88704266  5.59418319
  -1.98838935 -1.25276846 -4.81363508 -2.25962788 -4.5357628   9.57389524
   5.93260014  8.15552574  0.44175428 -0.8362932   8.07373004  5.47492604
  -1.60540985 -0.72937479 -1.13667642  6.8623621   4.69680211 -3.43627231
   0.72775126  2.85710866  7.07679255  3.82272795 -3.78087929 -3.76090772
  -3.60303018 -3.81369251 -0.18652578  3.59326367  9.77397614 -0.9192533
  -4.80583185 -3.70615438]]",0.16665303130874892,0.8333469686912511
26705889957.980812,"[[ 8.4052141   7.49434944 -3.29857951  8.02917871  0.18191388 -0.39292055
   8.88752551 -3.44254704 -1.43210501  2.09494248  4.10247517 -2.33316472
   9.03580811  8.68663504  4.38983481  1.43477351 -4.60874089 -4.33657347
  -1.78133768 -3.08219334  5.8698535   2.3638232   6.92577497  8.25404805
  -0.9047387   2.73254224 -2.77342744 -3.09916874  1.36281484  2.52072327
   5.68053613 -3.44882888 -0.94302507 -4.08022112 -3.63287428  5.1410035
  -3.29694643 -4.49657866  7.75005852  5.78845209 -3.75071859 -1.50290542
   4.23739055 -1.35552167  0.25774757 -0.79585688  1.21341642  4.23381937
  -3.90354637  0.28404109]]",0.2813057509236249,0.7186942490763751
93258897998.87422,"[[ 6.85059364  8.04619276  5.62462809 -4.39405244  7.46081177 -2.89831103
   2.70264481  3.13348758 -3.14549821 -3.35892889  0.52760975 -0.22131354
  -2.55246326  5.46714682  0.17825275 -1.01625764  3.5002691   5.78425167
   1.50557159  6.12510128  8.02780688 -1.62279035  5.88363306  8.52448203
   7.4324256   6.64911905 -0.59564442 -4.55877202  2.88965297 -3.23723602
  -1.54093274 -4.17388879 -2.67336694  2.51698015 -0.84330493 -1.72820668
   0.13696135  8.28354791 -4.96689788  7.32974902 -2.12207627 -3.52492814
   5.27204822 -3.08354425  1.28820114 -3.70367552  4.99771409  5.48811183
  -1.55464896 -3.59831629]]",0.40103919903178964,0.5989608009682104
2130146816.6402285,"[[ 8.85091307  3.97328569  3.53456457 -3.33792191  8.17386843 -2.95874181
   0.69339016  2.98280942  6.19225052 -2.02962452 -0.41582024  1.53735302
  -1.53460136  8.5819306  -3.16353586  6.51869295  1.84852638 -4.4706542
   4.50266828 -2.27052894  0.2751325   3.02748761  4.76661271 -3.37806793
  -2.45712162 -2.43568514  9.22709591 -2.9704265  -4.91826785  1.99221173
   8.6646915   6.99595725 -0.84781727  0.3447076  -2.669276    0.91735081
  -4.23990777  2.61025884  6.237556   -1.23990161 -0.97102872 -4.28718501
  -4.46905342  1.6410915   0.62524308 -4.35320206  1.81140043 -3.5907297
   8.8234932  -4.60382957]]",0.252541120274253,0.7474588797257468
97226445006.55777,"[[-4.67903614 -4.00937579 -0.73777113 -2.52563973  5.74503437  5.81388873
   5.43798025  3.27781202  6.76386434  4.10311649  0.75284073 -2.18128689
   0.61974961  2.51406167  6.73178941  3.30245516  0.54068573  0.29413664
   3.56343183  6.68609188 -1.13117381 -4.0437681  -1.09492506  6.30586253
   1.82494928 -2.26600422 -0.21099251  1.40416786 -0.36953227 -2.72448956
  -4.98524546 -1.42935046 -3.91798439  6.04948885  1.4059097   7.69964386
  -4.61543398 -3.32862063  9.04930709  0.37332376  7.48302845 -4.1234997
  -1.53830618 -2.07526124 -0.21008528  9.03366169 -4.67215818 -1.9749672
   9.04390872 -3.09247674]]",0.40464636949718075,0.5953536305028192
96470446956.23726,"[[ 2.141557   -2.30357597 -0.40220593  7.16212803  1.47606368  2.40171636
   0.24461482 -2.27008871 -3.0309297   3.78083901  0.59894906  5.66761274
   1.22978923  0.47705909  4.83248203  1.57354168 -3.52745366 -1.72397488
  -4.59682968  0.92392959  7.07689568  1.6428447   3.78888197 -2.27669388
   1.17960609  8.81151753 -1.18438689  1.97101697  2.46726696  2.0227288
  -2.38466492 -2.53220173  5.44276612  4.26341364 -4.56932862 -4.44900239
  -3.18854524 -1.76714307  6.10068615 -3.67931773  9.42029593  2.01209618
  -1.13111986  6.94785996 -3.35581782  3.88235223 -0.1860466  -4.01202583
   4.6601666  -1.602416  ]]",0.2571537006854257,0.7428462993145741
36702780448.43556,"[[ 7.87076881  0.45015498 -1.12776064  5.2284607   5.16818733  2.68051221
  -1.60204947 -4.49652318  7.71481752 -3.76366374 -3.41536469  1.09646658
  -3.63862828  3.52540065 -2.73830713  7.09438947  8.23297316  2.01971664
  -3.03213981 -1.20961108  1.20437713 -3.92900969 -2.21507532 -0.26256762
   0.31267677  1.15931776  2.22080282  4.22678385 -0.31040317  5.66484629
  -3.82877323 -3.60787324  7.842518   -2.08228933  6.98570141  1.88647825
   4.61216554  2.85380465  4.62433472 -4.53320454 -4.45444652  1.46612384
  -4.95294925 -3.27276185  7.69243067  2.75111063 -0.58189417  1.33573903
  -1.55659067 -0.6755456 ]]",0.33341123248511606,0.6665887675148839
362501801643.12744,"[[-0.07731892 -0.04164533 -3.25711342  2.42977274  5.64587827  3.73246469
   5.59552768 -3.99807245  2.69242343 -1.06322299  2.87059139 -4.73728077
   3.56026773  4.78620319 -4.62443804  1.40699359 -0.59579761 -3.60439191
   3.10456094 -4.06277928 -2.77613723 -0.36970198 -0.7635417  -4.0133653
   2.34019106  7.48327915  9.75852015  3.77829187 -2.83727665 -1.18606775
  -2.0748382   2.62669178  0.54691013  3.06671203 -2.20575042  4.8053562
  -3.21430428  9.76732086 -4.08671912 -4.01091873  9.85974517 -2.98542433
   8.84237955 -2.15583952  0.53317606  2.61890145 -2.67183343  6.37195689
  -1.25380293  5.31434353]]",0.35493574478498713,0.6450642552150129
52123263417.93922,"[[ 5.66168468  8.02137333 -0.46466761  5.91518514 -3.08365347 -1.90297416
  -0.67880796  8.10668031 -2.1304289   1.79883024 -3.62007945  7.41327525
   2.85171519  1.92316862  6.14881524  8.70242591  1.59630665  7.29309039
   6.7178429   3.26213686  2.25271123 -3.46051659 -4.53216686  1.02278173
  -2.31306518 -4.82833788 -3.66580279  8.67852194  0.57944927 -2.70198653
   3.75338754 -4.99825758 -4.91855341 -0.60524346 -0.65659399  2.13499611
   1.65155908  1.8707056  -3.46515658  3.28496893 -3.63434198  2.18029683
   1.11849572  4.9143955   4.57266469  8.39850769 -1.19688898 -3.30085698
  -1.25507697 -0.37657799]]",0.2203225843731297,0.7796774156268702
48398964345.36209,"[[ 6.85678829  0.99375007 -2.37559144  9.89642356 -3.30307987  4.92580187
  -4.51389316 -2.15458757 -3.60688871 -0.31908843  4.633769    2.77016851
   0.46039078  1.60056571 -3.45783191  1.53861591 -1.8464502   4.81917338
   8.59465383  0.16490658 -1.36248727 -1.06193028  9.55757624  1.58834371
   4.35447465  3.38253639 -3.59103088  6.84356407  0.2614372   5.24206044
  -4.02943191  5.47715917 -4.66134468  1.03668454 -3.46751327 -4.32245205
  -1.65913135 -1.90599597  2.90287529 -3.18964343 -2.20177567 -0.52455379
   6.45580528  8.86188379 -4.0579092   6.41835279  1.89782359  0.72719102
  -1.66948635 -3.37069106]]",0.3136130062373467,0.6863869937626533
48495350776.02852,"[[ 1.73118744  2.92962073 -0.80195426 -3.18852114 -4.32135362  6.93728888
  -2.28612361 -0.9843826   2.33054189  8.93862184  7.14623507  8.9645275
   2.18833073 -2.14753646  7.91292768  0.90107545  5.4614588   5.20997167
  -2.03166548 -4.49648353  9.45743161 -1.29588632  8.26183     0.37798955
  -1.59964443 -4.84112964 -1.94945337 -3.49219973 -4.89339405  8.33472342
  -1.80152686  2.13437573 -1.54703991 -1.98316703  2.71744717  4.17383963
   8.15884028 -1.20645058 -3.65260919 -3.27417586 -4.63643956 -3.34808852
  -0.52188687  2.70388609 -0.95717478 -3.13170855  9.12519523 -4.62264467
   1.71918534  7.34130923]]",0.2910133950597158,0.7089866049402842
1033277482644.4316,"[[ 4.16938052  9.69158959  6.30639018  0.73697911 -4.71522205 -2.9670986
   9.49102954 -3.75379365  2.0684293  -1.77528094  3.24382224  4.58002726
   4.77089107 -0.39158184  6.65029238 -3.03925892 -2.02407743  4.14416165
   6.73660507  6.85214148  8.58136375  9.43916291 -1.72035991  6.75710244
  -4.64501119  4.15242099  4.42773739 -1.15012453  3.26325066 -1.41137402
   2.10781087  5.95234183 -4.54671146  4.20221139  2.92092453  4.87616783
   3.9335364  -3.2247242   2.35092846  0.17802965  5.97322112 -3.90382575
   3.85403649 -4.11730356  9.37953486 -4.09157837 -2.47191369  1.71036234
   4.41331481 -3.92172868]]",0.390421204598123,0.609578795401877
129060871648.16042,"[[-2.38080599  1.3611973   5.12240645 -0.0753251   9.95038004 -1.98884731
  -2.67067882  6.41216475  9.03999931  9.48769477  7.02392208  0.42450164
   2.63960835 -3.76116852 -1.93874349  3.83815693  5.75614038 -1.47012212
   0.04772269  8.4847719  -1.56420844  2.3363422   3.86975175  8.41119236
  -3.05184904 -1.39376496  0.57585616  3.520407   -4.87525149  1.96644774
   7.24385178 -3.37484335 -0.08027508  3.94111639 -1.62534728  7.22711875
   4.38110373  7.14867684 -4.96224763 -4.08741226  9.09780455 -1.09343871
  -3.59955812  0.89003126 -1.09344151 -4.49100539 -1.88926597 -4.68356143
   4.35738073  1.31875728]]",0.22720519666305836,0.7727948033369415
33171941092.35974,"[[-2.93461099e+00  4.76447465e+00 -1.04552177e+00  5.26729223e+00
   9.24772437e+00  6.23297080e+00  2.29036675e-01  8.08726751e-01
   2.94461742e+00 -2.92537988e+00 -2.74555288e+00 -9.91399415e-01
  -4.82963883e+00  3.89940635e-01 -1.41639963e+00  2.92196853e+00
   7.26103048e+00  1.74822514e+00  2.60688229e+00 -1.88375253e+00
  -1.37147995e+00  7.99910625e+00 -9.32785655e-01 -4.88888393e+00
  -2.98836988e+00 -9.07754403e-01 -4.37516210e-01  4.84059891e+00
   2.46527522e+00 -1.20724142e+00 -3.83651116e+00 -6.01967144e-01
  -4.97183980e+00  4.84117362e+00 -3.41516879e+00 -1.47636065e+00
  -3.65117649e+00 -3.67489663e-01  1.44545852e+00  3.39382920e+00
   9.23623160e+00  6.52369214e-02 -3.50841269e-01 -2.49066180e+00
   6.45462192e-03 -2.31106855e+00  5.73864372e+00  1.00052122e+00
  -7.20361973e-01  9.02014572e+00]]",0.21813360369372523,0.7818663963062749
88725523250.64479,"[[ 8.70596127e+00 -4.70509331e+00  6.55141501e+00  2.38966732e-01
  -3.63240129e+00  6.91614713e+00  7.70106907e+00 -8.08544921e-01
  -2.16313846e+00  2.32277115e-01  4.05787654e+00 -1.72545852e+00
   2.76896273e+00  2.01373141e+00  9.58575206e-01 -3.34817790e+00
  -3.89891981e+00  2.27426858e+00 -4.78165900e+00  3.79456484e+00
   4.27996005e+00 -6.03865349e-01  2.22233911e+00  2.01327677e+00
   1.11847151e+00  7.60733391e+00  3.66150700e+00  2.54342001e+00
  -1.40550302e+00 -4.48301906e+00  7.76303052e+00  4.06365056e-03
   1.98199423e+00 -1.58424946e+00 -3.54345548e+00  1.55241393e+00
   6.82611060e+00 -1.78963392e+00  5.36426248e+00 -1.33641477e+00
   2.61794078e+00  5.20287324e+00 -2.95193181e+00  9.83795937e+00
  -4.49042034e-01 -2.15716842e+00 -2.40983956e-01 -1.37144054e+00
  -2.19016957e+00 -3.63184770e+00]]",0.29493998215284467,0.7050600178471553
4900206525.190727,"[[-1.17229249  5.2750432   1.19542146 -3.20567158 -3.4288585  -0.16843334
   0.86129265 -4.18158305  4.93778854 -0.37429477  3.0000621   2.14598239
   4.28185538  0.04391665  1.23521793  7.74867233 -2.3437873   3.26910054
   8.72313855 -3.49365416 -3.29634868 -2.65512773 -3.26001404  5.47397972
   6.15581072 -0.98499944 -4.26263558  7.00163057 -3.52626249 -3.15396215
  -3.17049458 -4.27927073  3.88093776  0.66175458 -3.63180294 -0.89817491
   3.41006538  2.06342267  2.39229937 -2.02732324  1.46521439  4.97356872
   6.71433072  1.72666252 -3.19980824 -0.98953476 -4.34998244 -3.49944189
   8.12585838 -3.89791405]]",0.26221343001119196,0.7377865699888081
